title,issn,area,id,h5-index,h5-median
ACS Catalysis,2155-5435,Chemical & Materials Sciences,chm_chemicalkineticscatalysis,117,158
Annals of Internal Medicine,0003-4819,Health & Medical Sciences,med_medgeneral,127,216
Annals of Oncology,1569-8041,Health & Medical Sciences,med_oncology,122,185
Annals of the Rheumatic Diseases,1468-2060,Health & Medical Sciences,med_rheumatology,119,170
Applied Energy,0306-2619,Engineering & Computer Science,eng_sustainableenergy,119,156
Applied Energy,0306-2619,Life Sciences & Earth Sciences,bio_sustainableenergy,119,156
Biomaterials,0142-9612,Engineering & Computer Science,eng_biomedicaltechnology,122,149
Biomaterials,0142-9612,Health & Medical Sciences,med_biomedicaltechnology,122,149
Cancer Cell,1535-6108,Health & Medical Sciences,med_oncology,119,204
Cancer Research,0099-7013,Health & Medical Sciences,med_oncology,131,170
Circulation Research,1524-4571,Health & Medical Sciences,med_cardiology,116,177
Clinical Cancer Research,1557-3265,Health & Medical Sciences,med_oncology,121,165
Diabetes Care,1935-5548,Health & Medical Sciences,med_diabetes,129,185
European Urology,0302-2838,Health & Medical Sciences,med_urologynephrology,122,190
Gut,1468-3288,Health & Medical Sciences,med_gastroenterologyhepatology,124,168
Hepatology,1527-3350,Health & Medical Sciences,med_gastroenterologyhepatology,128,166
IEEE Communications Magazine,0163-6804,Engineering & Computer Science,eng_computernetworkswirelesscommunication,119,211
IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828,Engineering & Computer Science,eng_computervisionpatternrecognition,118,210
Journal of Allergy and Clinical Immunology,0091-6749,Health & Medical Sciences,med_immunology,118,158
Journal of Cleaner Production,0959-6526,Life Sciences & Earth Sciences,bio_sustainabledevelopment,117,160
Journal of Cleaner Production,0959-6526,Social Sciences,soc_sustainabledevelopment,117,160
Journal of Hepatology,0168-8278,Health & Medical Sciences,med_gastroenterologyhepatology,116,155
Nature Immunology,1529-2916,Health & Medical Sciences,med_immunology,127,181
Nature Reviews Cancer,1474-1768,Health & Medical Sciences,med_oncology,131,223
Nature Reviews Drug Discovery,1474-1784,Health & Medical Sciences,med_pharmacologypharmacy,116,228
Nature Reviews Immunology,1474-1733,Health & Medical Sciences,med_immunology,134,251
Nature Reviews Neuroscience,1471-0048,Health & Medical Sciences,med_neurology,123,200
NeuroImage,1053-8119,Health & Medical Sciences,med_neurology,120,164
Obstetrical  Gynecological Survey,1533-9866,Health & Medical Sciences,med_gynecologyobstetrics,116,224
Pediatrics,1098-4275,Health & Medical Sciences,med_pediatricmedicine,117,163
Science Translational Medicine,1946-6234,Health & Medical Sciences,med_medgeneral,133,178
The Journal of Clinical Investigation,1558-8238,Health & Medical Sciences,med_medgeneral,139,185
The Lancet Neurology,1474-4422,Health & Medical Sciences,med_neurology,125,192
