word1,word2,n
not,share,4
additional,advice,3
additional,information,3
editors,component,3
graduate,students,3
individuals,involved,3
instances,reviewers,3
laboratory,colleagues,3
maintaining,confidentiality,3
not,disclose,3
obtain,additional,3
originally,invited,3
peer,reviewers,3
permitting,communications,3
person,originally,3
post,docs,3
professional,colleague,3
reviewer,contact,3
share,information,3
trainees,graduate,3
ultimately,responsible,3
unpublished,manuscripts,3
violate,confidentiality,3
avoid,involving,2
clubs,reviewers,2
collaborating,reviewers,2
collaboration,functions,2
confidential,documents,2
confidential,nature,2
consulted,disclosed,2
discuss,unpublished,2
editors,consulting,2
encourage,referees,2
inform,collaborating,2
journal,clubs,2
journal,editors,2
junior,researchers,2
laboratory,meetings,2
maintain,confidentiality,2
not,divulge,2
obtain,permission,2
potential,conflicting,2
prior,permission,2
scientific,advice,2
specific,manuscript,2
specific,scientific,2
strictly,confidential,2
training,exercise,2
accurately,reflect,1
agu’s,ethical,1
anonymity,communications,1
another,expert,1
another,party,1
assigned,reviewer,1
associate,editor,1
authors,expect,1
authors,inferred,1
can’t,share,1
confidential,manner,1
confidentiality,reviewers,1
consulted,reviewers,1
contact,information,1
cope,guidelines,1
destroy,copies,1
directly,involved,1
disclosed,peer,1
doctoral,students,1
document,trainee,1
e.g,gaining,1
editor,prior,1
editor,reviewers,1
editor’s,decision,1
editorial,office,1
editorial,staff,1
editors,peer,1
editors,reviewers,1
ethical,guidelines,1
ethics,website,1
expects,reviewers,1
expert,advice,1
explicit,permission,1
fairly,evaluate,1
financial,benefit,1
financial,e.g,1
findings,financial,1
graduate,student,1
guidelines,including,1
guidelines,reviewers,1
handle,manuscripts,1
handling,editor,1
including,colleagues,1
including,intellectual,1
information,obtained,1
intellectual,e.g,1
internal,medicine,1
involve,junior,1
jci,supervisors,1
journal,editor,1
journal,office,1
journal,records,1
junior,colleague,1
leading,scholars,1
manner,manuscripts,1
manuscript,confidentiality,1
manuscripts,confidential,1
medicine,expects,1
not,allowed,1
not,directly,1
not,discuss,1
not,involve,1
not,publicly,1
not,published,1
obtaining,permission,1
office,manuscripts,1
party,subject,1
permission,ahead,1
personal,e.g,1
personal,files,1
previously,agreed,1
prior,authorization,1
private,property,1
privileged,communications,1
privileged,information,1
process,rests,1
professional,relationship,1
publication,ethics,1
publicly,discuss,1
published,reviewers,1
qualified,colleague,1
quality,reviews,1
records,accurately,1
referee,consults,1
referee,report,1
related,correspondence,1
reported,findings,1
request,advice,1
request,permission,1
require,referees,1
reviewed,manuscripts,1
reviewer,guidelines,1
reviewers,trainees,1
reviews,unpublished,1
seek,advice,1
senior,colleague,1
senior,mentor,1
sharing,copies,1
single,colleague,1
site,manuscript,1
specially,qualified,1
specific,expert,1
strict,confidence,1
strong,belief,1
student,performs,1
student,write,1
students,residents,1
students,write,1
subject,matter,1
submitted,manuscript,1
submitted,manuscripts,1
submitting,reviews,1
trainee,reviewers,1
trainees,students,1
uphold,agu’s,1
write,reviews,1
