issn,bibjson.title,bibjson.publisher,bibjson.oa_start.year,issn_type
1864-7782,Aquatic Biology ,Inter-Research,2014,pissn
1864-7790,Aquatic Biology ,Inter-Research,2014,eissn
0144-8463,Bioscience Reports,"Portland Press, Biochemical Society",2013,pissn
1573-4935,Bioscience Reports,"Portland Press, Biochemical Society",2013,eissn
2368-8645,Health Professional Student Journal,University of British Columbia,2015,eissn
2368-7959,JMIR Mental Health,JMIR Publications,2014,eissn
1550-1329,International Journal of Distributed Sensor Networks,SAGE Publishing,2011,pissn
1550-1477,International Journal of Distributed Sensor Networks,SAGE Publishing,2011,eissn
1550-333X,New England Journal of Entrepreneurship,Emerald Publishing,2018,pissn
2574-8904,New England Journal of Entrepreneurship,Emerald Publishing,2018,eissn
2368-9587,Communiquer ,Université du Québec à Montréal,2009,eissn
2368-4526,Collected Essays on Learning and Teaching,University of Windsor,2008,eissn
1377-2368,Belgeo,Katholieke Universiteit Leuven,2000,pissn
2294-9135,Belgeo,Katholieke Universiteit Leuven,2000,eissn
2311-1550,Journal of Learning for Development,Commonwealth of Learning,2014,eissn
2045-7022,Clinical and Translational Allergy,BMC,2011,eissn
2160-3308,Physical Review X,American Physical Society,2011,eissn
1932-6203,PLoS ONE,Public Library of Science (PLoS),2006,eissn
0305-1048,Nucleic Acids Research,Oxford University Press,2005,pissn
1362-4962,Nucleic Acids Research,Oxford University Press,2005,eissn
2041-1723,Nature Communications,Nature Publishing Group,2015,eissn
1434-6044,European Physical Journal C: Particles and Fields,SpringerOpen,2014,pissn
1434-6052,European Physical Journal C: Particles and Fields,SpringerOpen,2014,eissn
2045-2322,Scientific Reports,Nature Publishing Group,2011,eissn
1094-4087,Optics Express,Optical Society of America (OSA),1998,eissn
1029-8479,Journal of High Energy Physics,SpringerOpen,2014,eissn
1471-2121,BMC Cell Biology,BMC,2000,eissn
